コマ絵,キャラ名(数字),内容,表情(数字は00とか)
OpeningCH0,9,うわぁぁぁぁぁ！！！！,09Sad
,10,わぁ〜〜〜！ たかいたか〜い！,10Happy
,0,ある日、天人は地上で2人の子供と出会いました。,00None
,0,地上に降りてきたばかりで右も左も分からない天人は、子供たちに言われるがままに空を飛んでいます。,00None
,9,あぶないよぉ！ もうやめてぇ！,09Surprise
,10,えぇーー。おにぃの弱虫！,10Normal
,10,ロボットさんももっともっとあそびたいよね！,10Spoony
,7,…… 貴殿方に任せよう。,07Normal
OpeningCH1,10,それじゃあ、次はかくれおに！,10Normal
,10,今からかくれるから、10かぞえてて！,10Smile
,9,グレーテル！ 今日会ったばかりの人にやめなって！,09Surprise
,10,まけたらバツゲームね！,10Spoony
,7,…… 心配ない。生体反応を追えば容易い。,07Normal
,9,せ、せいたいはんのう？？,09Panic
,10,おにぃ、はやく！ かくれるよ！,10Spoony
,0,2人は工場のほうへ走っていきます。,00None
,7,…...4、3、2、1、0。,07Smile
,7,…...任務を遂行する。,07Angry
