コマ絵,キャラ名(数字),内容,表情(数字は00とか)
0,0,退屈な日々を紛らわすように、アリスは今日もトランプゲームをしていました。,00None
1,0,「 …… フォールド」,00None
,0,そう呟いたアリスの前にはチップの山ができていました。,00None
2,0,「すごいチップの数だ！ さすがの手腕ですね！ フォールドしちゃっていいんですか？」,00None
,0,突如現れた、帽子を目深にかぶった男がアリスに話しかけました。,00None
3,0,「 …… お前がこの城に入ることは禁止にしたはずよ。」,00None
,0,「それは失敬！ しかし、1つお知らせが」,00None
4,0,「来ますよ」,00None
5,0,「トランプゲームはもうおしまい」,00None
,0,トランプ兵に告げると、アリスは部屋を出て行ってしまいました。,00None
6,0,アリスは人のいない広い廊下を1人どこかへと向かいます。,00None
7,0,「楽しそうだね？」,00None
8,0,どこからともなく現れたチェシャーキャットが、アリスに語りかけました。,00None
,0,「でも楽しいとは思えない。違う？」,00None
9,0,「ニャーニャーうるさいわ。処刑してやろうかしら」,00None
,0,「ご冗談を。女王様」,00None
10,0,アリスが脅しをかけるとチェシャーキャットはどこかへ消えてしまいました。,00None
11,0,「ひさしぶりね」,00None
,0,声のした先にはハートの女王が立っていました。,00None
12,0,「心を失った貴様の国に未来はない！ その玉座、返してもらおうか！」,00None
13,0,「 …… 始めましょう。すべてをかけて」,00None
