背景,発話キャラ,内容,キャラクター
EndingFA,0,アリスは赤ずきんを縛って無理やりお茶会に参加させて<br>いました。,00None
,5,濃い ...... 。,05Spoony
,5,この紅茶、香りはいいが濃すぎないか。,05Normal
,2,<incr a=0.8>その紅茶にはミルクを入れることをオススメしたはずよ。</incr>,02Smile
,5,ミルクを入れると香りが死ぬのでは？,05Smile
,2,<incr a=0.8><size=60>お前 ......！！その状態でまだ歯向かうというの？<br>とっとと諦めて言うことを聞きなさい。</incr>,02Panic
,5,まだ死んでないからな。死なない限り、<size=70>私は諦めない</size>。,05Smile
,2,......！,02Normal
,2,<size=40>...... アタシとは大違いね。,02Normal
,0,アリスは何かを考え、少し悲しそうな顔をしました。,00None
,5,ミルク。,05Normal
,2,<bounce a=0.2>え？</bounce>,02Normal
,5,1回試してみるのも悪くない。,05Smile
,0,赤ずきんはミルクの入った紅茶を1口飲みました。,00None
,5,！ <incr a=0.8>おいしい ...... 。</incr>,05Smile
,2,ふん。わたしの言ったとおりだったでしょ？,02Spoony
,0,この後も静かに、そして穏やかにお茶会は続いたと<br>いうことです。,00None
