背景,発話キャラ,内容,キャラクター
0,0,<alpha=#CC>「はぁ ...... <alpha=#88>はぁ ...... 。<alpha=#44>はぁ ...... 」,00None
,0,どうして？ 期待した勝利の喜びも、余韻も,00None
1,0,「何も、感じない」,00None
,0,<shake a=0.5>苦しい。</shake>,00None
,0,<alpha=#66>━ ...... アリス ━,00None
2,0,「全部ひとりで抱え込まなくていいんだ」,00None
,0,「逃げてもいいんだ」,00None
,0,「誰かを必要とすることは、生きるのに当たり前のことなんだ」,00None
3,0,「わかんない ...... 。わかんないよ ...... 」,00None
,0,<size=70>━ アリス ━,00None
4,0,<size=70>━ 大丈夫。私がいる ━,00None
5,0,<shake><size=70>「や ...... 」</shake>,00None
6,0,<shake>「あぁ、何で、わかんない。どうして、あ ...... 」</shake>,00None
,0,<shake>お城が、世界が、くずれていく ......</shake>,00None
,0,<alpha=#66>━ ...... リス ━,00None
,0,<shake>「 ...... 行かないで」</shake>,00None
7,0,「 ...... 」,00None
8,0,「 ...... ？」,00None
,0,お姉ちゃん、もう帰っちゃったのかな ......？,00None
9,0,「アタシも早く帰らないと」,00None
